Name|Address|Last Inspection|Score|Grade|Inspection Date|Inspection Type|Result|Major Violations|Minor Violations|City|URL
THE SHANTY|126 CHESTERFIELD DR, CARDIFF BY THE SEA, CA 92007|04-May-2017|98|A|04-May-2017|Routine|98|No major violations observed|['Food Contact Surfaces']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899507696
THE SHANTY|126 CHESTERFIELD DR, CARDIFF BY THE SEA, CA 92007|04-May-2017|98|A|07-Mar-2016|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899507696
THE SHANTY|126 CHESTERFIELD DR, CARDIFF BY THE SEA, CA 92007|04-May-2017|98|A|09-Feb-2015|Routine|99|No major violations observed|['Floors, Walls, and Ceilings']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899507696
TRATTORIA POSITANO|2171 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|31-May-2017|NULL|NULL|31-May-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898533502
TRATTORIA POSITANO|2171 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|31-May-2017|NULL|NULL|03-May-2017|Routine|92|['Shellfish Tags']|['Food Safety Certification', 'Food Separated and Protected', 'Floors, Walls, and Ceilings', 'Wiping Cloths', 'Warewashing Facilities Maintained']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898533502
TRATTORIA POSITANO|2171 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|31-May-2017|NULL|NULL|09-Jun-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898533502
USA #160|633 BIRMINGHAM DR, CARDIFF BY THE SEA, CA 92007-1701|29-Dec-2016|95|NULL|29-Dec-2016|Routine|95|No major violations observed|['Equipment and Utensil Storage, Use', 'Food Storage', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899113710
USA #160|633 BIRMINGHAM DR, CARDIFF BY THE SEA, CA 92007-1701|29-Dec-2016|95|NULL|16-Dec-2015|Routine|100|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899113710
USA #160|633 BIRMINGHAM DR, CARDIFF BY THE SEA, CA 92007-1701|29-Dec-2016|95|NULL|19-Sep-2014|Routine|98|No major violations observed|['Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211899113710
VG DONUT & BAKERY INC|106 ABERDEEN DR, CARDIFF BY THE SEA, CA 92007|02-Jun-2017|99|A|02-Jun-2017|Routine|99|No major violations observed|['Nonfood Contact Surfaces Clean']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898294623
VG DONUT & BAKERY INC|106 ABERDEEN DR, CARDIFF BY THE SEA, CA 92007|02-Jun-2017|99|A|01-Dec-2016|Routine|96|No major violations observed|['Food Contact Surfaces', 'Food Storage', 'Nonfood Contact Surfaces Clean']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898294623
VG DONUT & BAKERY INC|106 ABERDEEN DR, CARDIFF BY THE SEA, CA 92007|02-Jun-2017|99|A|04-Jan-2016|Routine|95|No major violations observed|['Food Storage', 'Floors, Walls, and Ceilings', 'Nonfood Contact Surfaces Clean', 'Proper Handwashing Facilities']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898294623
WHAT THE FRANK|2531 S HIGHWAY 101, CARDIFF BY THE SEA, CA 92007|27-Oct-2016|96|A|27-Oct-2016|Routine|96|['Hot and Cold Water']|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211982056658
WHAT THE FRANK|2531 S HIGHWAY 101, CARDIFF BY THE SEA, CA 92007|27-Oct-2016|96|A|08-Jan-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211982056658
WHAT THE FRANK|2531 S HIGHWAY 101, CARDIFF BY THE SEA, CA 92007|27-Oct-2016|96|A|13-Nov-2015|Routine|98|No major violations observed|['Hot and Cold Water']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211982056658
WINE STEALS|1953 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|22-Sep-2016|NULL|NULL|22-Sep-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898916669
WINE STEALS|1953 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|22-Sep-2016|NULL|NULL|14-Sep-2016|Routine|98|['Permit']|['Food Safety Certification']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898916669
WINE STEALS|1953 SAN ELIJO AVE, CARDIFF BY THE SEA, CA 92007|22-Sep-2016|NULL|NULL|05-May-2016|Reinspection|Directed|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898916669
ZENBU & RIMELS|2011 SAN ELIJO E, CARDIFF BY THE SEA, CA 92007|14-Apr-2017|NULL|NULL|14-Apr-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898288179
ZENBU & RIMELS|2011 SAN ELIJO E, CARDIFF BY THE SEA, CA 92007|14-Apr-2017|NULL|NULL|04-Apr-2017|Routine|90|['Permit', 'Shellfish Tags']|['Food Safety Certification', 'Food Contact Surfaces', 'Food Separated and Protected', 'Premises, Vermin-proofing, Personal/Cleaning Items', 'Storage of Toxic Substances', 'Thermometers']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898288179
ZENBU & RIMELS|2011 SAN ELIJO E, CARDIFF BY THE SEA, CA 92007|14-Apr-2017|NULL|NULL|04-Apr-2017|Reinspection|Directed|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898288179
ZENBU & RIMELS|2011 SAN ELIJO E, CARDIFF BY THE SEA, CA 92007|14-Apr-2017|NULL|NULL|01-Sep-2016|Reinspection|Directed|['Holding Temps']|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211898288179
ZUMBAR COFFEE & TEA|111 CHESTERFIELD DR, UNIT# 115, CARDIFF BY THE SEA, CA 92007-1921|07-Jul-2016|99|A|07-Jul-2016|Routine|99|No major violations observed|['Plumbing']|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211912347308
ZUMBAR COFFEE & TEA|111 CHESTERFIELD DR, UNIT# 115, CARDIFF BY THE SEA, CA 92007-1921|07-Jul-2016|99|A|24-Aug-2015|Routine|100|No major violations observed|No minor violations observed|Cardiff by the Sea|http://www2.sdcounty.ca.gov/ffis/DetailPage.aspx?Permit_id=211912347308
